AU1 intensity, Corr - 0.683, RMS - 0.830, CCC - 0.580
AU2 intensity, Corr - 0.654, RMS - 0.870, CCC - 0.593
AU4 intensity, Corr - 0.774, RMS - 0.655, CCC - 0.740
AU5 intensity, Corr - 0.750, RMS - 0.747, CCC - 0.683
AU6 intensity, Corr - 0.555, RMS - 0.776, CCC - 0.523
AU7 intensity, Corr - 0.830, RMS - 0.748, CCC - 0.813
AU9 intensity, Corr - 0.762, RMS - 0.608, CCC - 0.709
AU10 intensity, Corr - 0.478, RMS - 0.812, CCC - 0.439
AU12 intensity, Corr - 0.816, RMS - 0.695, CCC - 0.778
AU14 intensity, Corr - 0.346, RMS - 0.933, CCC - 0.270
AU15 intensity, Corr - 0.510, RMS - 0.763, CCC - 0.390
AU17 intensity, Corr - 0.566, RMS - 0.934, CCC - 0.477
AU20 intensity, Corr - 0.440, RMS - 0.860, CCC - 0.306
AU23 intensity, Corr - 0.347, RMS - 0.677, CCC - 0.282
AU25 intensity, Corr - 0.789, RMS - 0.932, CCC - 0.752
AU26 intensity, Corr - 0.520, RMS - 0.973, CCC - 0.455
AU45 intensity, Corr - 0.847, RMS - 0.628, CCC - 0.806
